"Gemeenten";"Aardgasverbruik Gebouwde omgeving|2017";"Aardgasverbruik Gebouwde omgeving|2018";"Aardgasverbruik Gebouwde omgeving|2019";"Aardgasverbruik Gebouwde omgeving|2020";"Aardgasverbruik Gebouwde omgeving|2021"
"Leusden";25;24;23;23;23
"Lingewaard";38;37;35;34;34
"Lisse";"?";"?";16;16;16
"Lochem";34;34;33;31;32
"Loon op Zand";"?";20;19;19;19
"Lopik";"?";10;10;10;10
"Losser";21;20;20;19;19
"Maasdriel";22;21;21;20;20
"Maasgouw";24;23;22;21;21
"Maashorst";52;51;50;49;49
"Maassluis";20;20;"?";19;"?"
"Maastricht";"?";114;109;105;108
"Medemblik";35;35;34;34;34
"Meerssen";18;"?";17;16;16
"Meierijstad";66;67;66;64;64
"Meppel";31;30;28;"?";28
"Middelburg";38;39;38;36;37
"Midden-Delfland";12;13;12;11;14
"Midden-Drenthe";"?";33;"?";31;31
"Midden-Groningen";55;56;54;53;53
"Moerdijk";34;34;33;32;32
"Molenlanden";"?";31;30;29;29
"Montferland";"?";30;29;28;28
"Montfoort";10;11;10;10;10
"Mook en Middelaar";"?";"?";"?";"?";"?"
"Neder-Betuwe";18;18;17;17;17
"Nederweert";16;16;14;"?";"?"
"Nieuwegein";27;27;26;"?";25
"Nieuwkoop";21;21;21;21;21
"Nijkerk";34;33;33;31;32
"Nijmegen";148;145;139;133;137
"Nissewaard";52;"?";"?";52;52
"Noardeast-Fryslân";39;40;39;39;38
"Noord-Beveland";"?";"?";"?";8;"?"
"Noordenveld";32;33;31;"?";31
"Noordoostpolder";39;40;38;39;"?"
"Noordwijk";42;"?";41;38;39
"Nuenen, Gerwen en Nederwetten";20;20;"?";"?";"?"
"Nunspeet";24;24;23;22;22
"Oegstgeest";17;17;"?";16;"?"
"Oirschot";"?";"?";"?";"?";"?"
"Oisterwijk";29;29;28;27;27
"Oldambt";40;40;38;38;38
"Oldebroek";20;19;19;18;18
"Oldenzaal";30;29;27;"?";28
"Olst-Wijhe";15;15;14;"?";14
"Ommen";17;17;17;16;17
"Oost Gelre";27;26;25;25;25
"Oosterhout";53;53;"?";"?";"?"
"Ooststellingwerf";24;25;23;22;22
"Oostzaan";7;7;"?";6;"?"
"Opmeer";"?";"?";9;8;9
"Opsterland";27;"?";"?";26;26
"Oss";74;73;71;70;72
"Oude IJsselstreek";34;33;"?";32;32
"Ouder-Amstel";12;14;16;13;13
"Oudewater";8;"?";"?";"?";"?"
"Overbetuwe";38;"?";36;35;35
"Papendrecht";19;19;19;18;19
"Peel en Maas";36;37;36;35;35
"Pekela";"?";"?";11;11;11
"Pijnacker-Nootdorp";28;28;27;28;28
"Purmerend";"?";27;"?";"?";"?"
"Putten";21;20;20;19;19
"Raalte";31;"?";30;29;30
"Reimerswaal";"?";15;15;15;15
"Renkum";33;33;"?";"?";"?"
"Renswoude";"?";"?";"?";"?";"?"
"Reusel-De Mierden";"?";"?";"?";"?";"?"
"Rheden";43;41;41;39;39
"Rhenen";"?";"?";"?";"?";"?"
"Ridderkerk";31;31;30;29;30
"Rijssen-Holten";33;32;"?";30;"?"
"Rijswijk";"?";"?";45;42;43
"Roerdalen";19;19;19;18;"?"
"Roermond";54;54;53;51;52
"Roosendaal";65;"?";"?";61;61
"Rotterdam";"?";475;465;452;452
"Rozendaal";"?";"?";"?";"?";"?"
"Rucphen";20;"?";19;"?";"?"
"Schagen";40;41;39;38;39
"Scherpenzeel";7;7;"?";"?";7
"Schiedam";53;53;52;51;52
"Schiermonnikoog";2;"?";"?";"?";"?"
"Schouwen-Duiveland";35;36;35;33;35
"'s-Hertogenbosch";127;125;122;118;120
"Simpelveld";"?";"?";"?";"?";"?"
"Sint-Michielsgestel";"?";"?";23;23;23
"Sittard-Geleen";97;84;"?";81;82
"Sliedrecht";"?";18;17;"?";"?"
"Sluis";"?";29;29;28;29
"Smallingerland";49;49;48;47;48
"Soest";43;43;41;39;40
"Someren";16;16;15;15;15
"Son en Breugel";18;19;"?";15;16
"Stadskanaal";32;32;"?";30;30
"Staphorst";13;14;13;13;13
"Stede Broec";16;"?";16;16;16
"Steenbergen";18;18;18;17;17
"Steenwijkerland";39;40;38;38;38
"Stein";23;23;23;24;22
"Stichtse Vecht";50;50;48;46;47
"Súdwest-Fryslân";"?";83;81;"?";81
"Terneuzen";48;"?";47;45;46
"Terschelling";8;8;8;7;8
"Texel";19;21;21;19;19
"Teylingen";27;"?";26;25;26
"Tholen";18;18;18;17;18
"Tiel";37;37;33;32;34
"Tilburg";125;131;126;126;128
"Tubbergen";20;20;18;17;19
"Twenterand";27;27;26;26;27
"Tynaarlo";34;34;33;"?";32
"Tytsjerksteradiel";"?";27;27;26;25
"Uitgeest";9;9;9;9;9
"Uithoorn";21;20;"?";"?";19
"Urk";"?";"?";13;13;13
"Utrecht";"?";196;192;186;186
"Utrechtse Heuvelrug";51;49;48;46;47
"Vaals";12;"?";"?";"?";11
"Valkenburg aan de Geul";21;21;20;"?";19
"Valkenswaard";27;27;26;25;25
"Veendam";"?";"?";27;26;"?"
"Veenendaal";47;46;44;43;44
"Veere";"?";24;24;22;23
"Veldhoven";37;37;36;"?";35
"Velsen";54;51;50;48;50
