"Buurten (2021)";"Zonnestroom opgewekt door zonnepanelen op woningen (MkWh)|2019";"Zonnestroom opgewekt door zonnepanelen op woningen (MkWh)|2020";"Zonnestroom opgewekt door zonnepanelen op woningen (MkWh)|2021";"Zonnestroom opgewekt door zonnepanelen op woningen (MkWh)|2022"
"Boekelermeer-Zuid";"";"";"";""
"Boekelermeer-Noord";"";"";"";""
"De Hoef III en IV";0;0;"";""
"De Hoef I en II";0;0;"";""
"Bergerwegkwartier";0;0;"";""
"Bergerhof en Blaeustraatkwartier";0;0;"";""
"Bergermeer";0;1;"";""
"Landelijk gebied-West";0;0;"";""
"Huiswaard-1-Zuid";0;0;"";""
"Muiderwaard";0;0;"";""
"Huiswaard-2-West";0;0;"";""
"Huiswaard-2-Oost";0;0;"";""
"'t Rak-Zuid";1;1;"";""
"'t Rak-Noord";0;1;"";""
"De Horn-Noord";1;1;"";""
"De Horn-Zuid";0;1;"";""
"De Mare";0;0;"";""
"Daalmeer-Zuidoost";1;1;"";""
"Daalmeer-Zuidwest";1;1;"";""
"Koedijk en De Weijdt";0;1;"";""
"Daalmeer-Noordwest";0;1;"";""
"Daalmeer-Noordoost";1;1;"";""
"Landelijk gebied Noord";0;0;"";""
"Binnenstad-West";0;"";"";""
"Binnenstad-Oost";0;0;"";""
"Spoorbuurt";"";0;"";""
"Overstad";"";"";"";""
"Oterleek";0;0;"";""
"Ursem";0;0;"";""
"Stompetoren";0;1;"";""
"Schermerhorn";0;0;"";""
"Zuidschermer";0;0;"";""
"Driehuizen";0;0;"";""
"Grootschermer";0;0;"";""
"Noordeinde";0;0;"";""
"West-Graftdijk";0;0;"";""
"Graft";0;0;"";""
"De Rijp";0;1;"";""
"Oost-Graftdijk";0;0;"";""
"Starnmeer";0;0;"";""
"Markenbinnen";0;0;"";""
"Vroonermeer-Zuid";1;2;"";""
"Vroonermeer-Noord";0;0;"";""
"Binnenstad Noord";0;0;"";""
"Binnenstad Zuid";"";0;"";""
"Ulk en omgeving";0;0;"";""
"Java en omgeving";0;0;"";""
"Bornsestraat Midden-Riet Noord";"";"";"";""
"Bornsestraat en omgeving Zuid";0;0;"";""
"Arendsboer en omgeving Noord";"";"";"";""
"Nieuwland";0;0;"";""
"Arendsboer en omgeving Zuid-Riet Zuid";"";"";"";""
"Bedrijventerrein Bornsestraat";0;0;"";""
"Verspreide huizen wijk 11";0;0;"";""
"Vriezenveenseweg en omgeving Haghoek Oost";0;0;"";""
"Parkweg en omgeving";0;0;"";""
"Vriezenveenseweg en omgeving Haghoek West";0;0;"";""
"IndiÃ«";0;1;"";""
"Bedrijventerrein Dollegoor Turfkade";0;1;"";""
"Bedrijvenpark Twente";"";"";"";""
"Aaboer";"";"";"";""
"Verspreide huizen wijk 12";"";"";"";""
"Ootmarsumsestraat en omgeving";0;0;"";""
"Markgraven";0;0;"";""
"Rumerslanden";0;0;"";""
"Wester Sluitersveldlanden";0;0;"";""
"Robbenhaarsweg Noord";0;0;"";""
"Mooie Vrouwenweg en omgeving";0;0;"";""
"Verspreide huizen wijk 13";0;0;"";""
"Rohof en omgeving";"";0;"";""
"Wierdensebrug en omgeving";0;"";"";""
"Kerkelanden";"";"";"";""
"Aalderinkshoek Noordoost";0;0;"";""
"Aalderinkshoek Zuidoost";0;0;"";""
"Aalderinkshoek Noordwest";0;"";"";""
"Aalderinkshoek Zuidwest";0;0;"";""
"Verspreide huizen wijk 14";0;"";"";""
"Nieuwstraat -Witvoet en omgeving";0;0;"";""
"Wonde en omgeving";0;0;"";""
"Achterlanden en omgeving";0;0;"";""
"Boomplaats";0;0;"";""
"Ossenkoppelerhoek Oost";0;0;"";""
"Beeklust";0;0;"";""
"Ossenkoppelerhoek Midden Noord";0;0;"";""
"Ossenkoppelerhoek West";0;0;"";""
"Ossenkoppelerhoek Midden Zuid";0;0;"";""
"Hofkamp West";"";0;"";""
"Hofkamp Oost";0;0;"";""
"Paradijs";0;0;"";""
"Kollenveld";0;0;"";""
"Verspreide huizen wijk 17";"";"";"";""
"Schelfhorst Zuidwest";0;0;"";""
"Drakensteyn en omgeving";0;"";"";""
"Schelfhorst Noordwest";0;0;"";""
"Havezathe";0;0;"";""
"Schelfhorst Noordoost";0;0;"";""
"Schelfhorst Zuidoost";0;1;"";""
"Veenelanden";"";"";"";""
"Groeneveld";0;0;"";""
"Kanaalzijde";0;0;"";""
"Leemslagen Noord";0;0;"";""
"Leemslagen Zuid";0;0;"";""
"Zeven Bosjes";0;0;"";""
"Leemslagen Oost";0;0;"";""
"Huttenveld";0;0;"";""
"Maardijk";0;0;"";""
"Bedrijventerrein Twentepoort - Stadion";0;0;"";""
"Nijrees";1;1;"";""
"Bedrijventerrein XL Businesspark";0;0;"";""
"Verspreide huizen wijk 19";0;0;"";""
"Aadorp West";"";"";"";""
"Aadorp Oost";0;0;"";""
"Bornerbroek Kern";0;0;"";""
"Verspreide huizen wijk 21";0;0;"";""
"Centrum Almere Haven";0;0;"";""
"De Werven";1;1;"";""
"De Hoven";0;0;"";""
"De Meenten";0;0;"";""
"De Grienden";0;0;"";""
"De Marken";0;1;"";""
"De Gouwen";1;1;"";""
"De Wierden";1;1;"";""
"De Velden";0;1;"";""
"Overgooi";0;0;"";""
"De Laren";0;0;"";""
"De Steiger";"";"";"";""
"Stichtsekant";"";"";"";""
"overig Almere Haven";"";"";"";""
"Centrum Almere Stad";0;"";"";""
"Filmwijk";1;2;"";""
"Danswijk";0;1;"";""
"Parkwijk";1;1;"";""
"Verzetswijk";0;1;"";""
"Waterwijk";1;1;"";""
"Tussen de Vaarten noord";1;1;"";""
"Tussen de Vaarten zuid";1;2;"";""
"Staatsliedenwijk";0;0;"";""
"Kruidenwijk";1;1;"";""
"Stedenwijk";1;1;"";""
"Muziekwijk noord";1;2;"";""
"Muziekwijk zuid";1;1;"";""
"Literatuurwijk";1;2;"";""
"Noorderplassen";2;2;"";""
"Randstad";0;0;"";""
"Markerkant";"";"";"";""
"Hollandsekant";"";"";"";""
"Gooisekant";"";"";"";""
"Veluwsekant";"";"";"";""
"Sallandsekant";"";"";"";""
"overig Almere Stad";"";"";"";""
"Centrum Almere Buiten";0;0;"";""
"Oostvaardersbuurt";1;1;"";""
"Seizoenenbuurt";1;1;"";""
"Molenbuurt";1;1;"";""
"Bouwmeesterbuurt";0;1;"";""
"Landgoederenbuurt";1;1;"";""
"Faunabuurt";1;1;"";""
"Bloemenbuurt";1;1;"";""
"Regenboogbuurt";1;1;"";""
"Indischebuurt";0;0;"";""
"Eilandenbuurt";1;1;"";""
"Stripheldenbuurt";1;1;"";""
"Sieradenbuurt";0;0;"";""
"Poldervlak";"";"";"";""
"De Vaart";"";"";"";""
"Buitenvaart";0;0;"";""
"overig Almere Buiten";"";0;"";""
"Europakwartier west";0;0;"";""
"Columbuskwartier";1;1;"";""
"Homeruskwartier";"";1;"";""
"Olympiakwartier west";0;0;"";""
"Duin";0;1;"";""
"Europakwartier oost";"";"";"";""
"Olympiakwartier oost";0;"";"";""
"Hogekant";"";"";"";""
"Middenkant";"";"";"";""
"Lagekant";"";"";"";""
"overig Almere Poort";"";"";"";""
"Vogelhorst";0;1;"";""
"Nobelhorst";1;2;"";""
"Twentsekant";"";"";"";""
"overig Almere Hout";2;3;"";""
"overig Almere Pampus";"";"";"";""
"Gnephoek";0;0;"";""
"Woubrugseweg";0;0;"";""
"Heuvelweg";0;0;"";""
"Weteringpark";0;0;"";""
"Ambachtenbuurt-West";1;1;"";""
"Ambachtenbuurt-Oost";0;0;"";""
"Bedrijventerrein Heimanswetering";0;0;"";""
"Stromenbuurt";0;1;"";""
"Nuovaweg";0;0;"";""
"Groenoord";0;0;"";""
"De Heul";0;0;"";""
"Ridderbuurt";0;0;"";""
"Herenweg";0;0;"";""
"Horstenbuurt-Noord";0;0;"";""
"Horstenbuurt-Zuid";0;0;"";""
"Burgtenbuurt";0;0;"";""
"Preludeweg";0;0;"";""
"Componistenbuurt-Noord";0;0;"";""
"Componistenbuurt-Zuid";0;0;"";""
"Rijnoord";"";0;"";""
"Planetenbuurt-Noord";0;0;"";""
"Planetenbuurt-Zuid";0;0;"";""
"Steinenbuurt";0;0;"";""
"Paddestoelenbuurt";0;0;"";""
"Ericapark";0;0;"";""
"Weidebloemenbuurt-Noord";0;1;"";""
"Weidebloemenbuurt-Zuid";0;0;"";""
"Edelstenenbuurt";0;1;"";""
"Kromme Aar";"";"";"";""
"Bedrijventerrein Rijnhaven-West";"";"";"";""
"Bedrijventerrein Rijnhaven-Oost";0;0;"";""
"Zeeheldenbuurt";1;1;"";""
"Bomenbuurt";0;0;"";""
"Bospark";0;0;"";""
"Emmalaan";0;0;"";""
"Burgemeester Visserpark";0;0;"";""
"Paradijslaan";"";0;"";""
"Hazeveld";0;"";"";""
"Gouwsluis";0;0;"";""
"Bedrijventerrein De Schans I";"";"";"";""
"Nieuwe Sloot";0;0;"";""
"Lijsterlaan";"";"";"";""
"Van Boetzelaerstraat";0;0;"";""
"Beerendrecht";0;1;"";""
"De Bijlen";"";"";"";""
"Steekterbuurt";0;"";"";""
"Hoogendoornlaan";"";"";"";""
"Bedrijventerrein Molenwetering";"";"";"";""
"Europaplein";"";0;"";""
"Evenaar-West";0;1;"";""
"De Oude Wereld-West";0;0;"";""
"De Oude Wereld-Oost";0;0;"";""
"Evenaar-Oost";0;0;"";""
"Zefierzijde";0;1;"";""
"Vroonhoevebuurt";0;0;"";""
"Archeon";1;1;"";""
"Polderpeil-West";0;0;"";""
"Polderpeil-Oost";0;0;"";""
"Bedrijventerrein De Schans II";"";"";"";""
"Wagenburg";"";"";"";""
"Rietveldsepad";"";"";"";""
"Noordpolder";0;0;"";""
"Benthuizen Dorp-West";0;0;"";""
"Benthuizen Dorp-Oost";0;0;"";""
"Bentwoud";0;0;"";""
"Noordeinde";0;0;"";""
"Hoge Dijk";"";0;"";""
"Aarlanderveen Dorp";0;0;"";""
"Zuideinde";"";0;"";""
"Nesse";0;0;"";""
"Rijneveld-Noord";0;0;"";""
"Rijneveld-Zuid";0;0;"";""
"Laag Boskoop";0;0;"";""
"Draaistok";0;0;"";""
"Biezen-West";0;1;"";""
"Biezen-Oost";0;0;"";""
"Zonnedauw";0;0;"";""
"Snijdelwijk";1;1;"";""
"Vogelbuurt";0;0;"";""
"Voorofschebuurt";0;0;"";""
"Appelbuurt";0;0;"";""
"Botanicusbuurt";0;0;"";""
"Zuidwijk";0;0;"";""
"Spoelwijk";0;0;"";""
"Zwammerdam Dorp";0;0;"";""
"Hooge Burch";"";"";"";""
"De Burcht";0;0;"";""
"Buitengebied Hazerswoude-Dorp";0;0;"";""
"Rietveldse polder";0;0;"";""
"Hazerswoude-Dorp-West";0;0;"";""
"Hazerswoude-Dorp-Oost";0;0;"";""
"Voorweg";0;0;"";""
"Rijndijk";0;0;"";""
"Rhynenburch";0;0;"";""
"Zonneveld";0;0;"";""
"Buitengebied Hazerswoude-Rijndijk";0;0;"";""
"Buitengebied Koudekerk aan den Rijn";0;0;"";""
"Koudekerk aan den Rijn-Noord";0;0;"";""
"Koudekerk aan den Rijn-Zuid";0;0;"";""
"Bedrijventerrein Hoogewaard";0;0;"";""
"Noordwest Alphen";0;1;"";""
"Zuidoost Alphen";0;1;"";""
"Zuidwest Alphen";0;1;"";""
"Bedrijventerrein Alphen";0;1;"";""
"'t Zand";0;0;"";""
"Noordoost Alphen";0;1;"";""
"Buitengebied Alphen";0;0;"";""
"Centrum Chaam";0;1;"";""
"Roode Beek";0;1;"";""
"Elsakker";0;1;"";""
"Wolfsdonk";0;1;"";""
"Bedrijventerrein Baarleseweg Noord";0;1;"";""
"Den Brabander";0;1;"";""
"Buitengebied Chaam";0;0;"";""
"Strijbeek";"";0;"";""
"Kern Galder";0;0;"";""
"Buitengebied Galder";0;0;"";""
"Ulvenhout AC";"";"";"";""
"Bavel AC";"";"";"";""
"Centrum Werkendam";0;0;"";""
"Burchtpolder";0;0;"";""
"Welgelegen";0;0;"";""
"Werkense polder";0;0;"";""
"Vervoornepolder noord";0;0;"";""
"Vervoornepolder zuid";0;0;"";""
"Bedrijventerrein Werkendam";0;0;"";""
"Buitengebied Werkendam noord";"";"";"";""
"Buitengebied Werkendam zuid";0;0;"";""
"Buitengebied Oostwaard";"";"";"";""
"Buitengebied Biesbosch";0;0;"";""
"Sleeuwijk west";1;1;"";""
"Sleeuwijk oost";0;1;"";""
"Buitengebied Sleeuwijk";0;0;"";""
"Nieuwendijk";1;1;"";""
"Buitengebied Nieuwendijk noordoost";"";"";"";""
"Buitengebied Nieuwendijk zuid";0;"";"";""
"Hank";1;1;"";""
"Kurenpolder";"";"";"";""
"Buitengebied Hank oost";"";0;"";""
"Buitengebied Hank west";"";"";"";""
"Dussen";0;1;"";""
"Buitengebied Dussen noord";"";0;"";""
"Buitengebied Dussen zuid";"";0;"";""
"Woudrichem noord";0;0;"";""
"Woudrichem zuid";0;1;"";""
"Oudendijk";0;0;"";""
"Buitengebied Woudrichem";0;0;"";""
"Rijswijk (NB)";0;0;"";""
"Buitengebied Rijswijk (NB)";0;0;"";""
"Uitwijk";0;0;"";""
"Buitengebied Uitwijk";0;0;"";""
"Waardhuizen";"";"";"";""
"Buitengebied Waardhuizen";"";"";"";""
"Giessen";0;0;"";""
"Bedrijventerrein Rietdijk";"";0;"";""
"Buitengebied Giessen";"";0;"";""
"Andel";0;0;"";""
"Buitengebied Andel";0;0;"";""
"Almkerk west";0;0;"";""
"Almkerk oost";0;1;"";""
"Uppel";0;0;"";""
"Buitengebied Almkerk noord";0;0;"";""
"Buitengebied Almkerk zuid";0;0;"";""
"Veen";0;1;"";""
"Bedrijventerrein Veen";0;0;"";""
"Veenseput";0;0;"";""
"Buitengebied Veen";"";"";"";""
"Aalburg";0;0;"";""
"Wijk";0;0;"";""
"Spijk";0;0;"";""
"Buitengebied Wijk en Aalburg oost";0;0;"";""
"Buitengebied Wijk en Aalburg west";0;0;"";""
"BabyloniÃ«nbroek";0;0;"";""
"Buitengebied BabyloniÃ«nbroek";0;0;"";""
"Meeuwen";0;0;"";""
"Buitengebied Meeuwen";0;0;"";""
"Eethen";0;"";"";""
"Buitengebied Eethen";"";"";"";""
"Drongelen";0;0;"";""
"Buitengebied Drongelen";0;0;"";""
"Genderen";0;0;"";""
"Buitengebied Genderen";0;0;"";""
"Nes";0;0;"";""
"Buren";0;0;"";""
"Ballum";0;0;"";""
"Hollum";0;0;"";""
"Verspreide huizen Ballum";"";"";"";""
"Verspreide huizen Nes";"";"";"";""
"Verspreide huizen Hollum";"";"";"";""
"Hof";"";"";"";""
"Nieuwstraat e.o.";0;0;"";""
"Mooierstraat e.o.";0;0;"";""
"Lieve Vrouwekerkhof";"";"";"";""
"Coninckstraat e.o.";0;0;"";""
"Beestenmarkt";"";"";"";""
"Grote Haag";"";"";"";""
"Stadhuisplein";0;0;"";""
"Schimmelpenninckbuurt";0;0;"";""
"Smallepad e.o.";"";"";"";""
"Snouckaertlaan e.o.";0;0;"";""
"Zonnehof";"";0;"";""
"Rivierenbuurt-Oost";0;0;"";""
"Rivierenbuurt-West";0;0;"";""
"Gerrit van Stellingwerfstraat e.o.";0;0;"";""
"Bloemenbuurt-Oost";0;1;"";""
"Bloemenbuurt-West";0;0;"";""
"Bomenbuurt";0;0;"";""
"Puntenburg";0;0;"";""
"Piet Mondriaanlaan e.o.";0;0;"";""
"Wagenwerkplaats";"";"";"";""
"Spooremplacement";"";"";"";""
"Eemplein-Nieuwe Stad";"";"";"";""
"Kop van Isselt";"";"";"";""
"Isselt-Oost";"";"";"";""
"Isselt-West";"";"";"";""
"Jericho / Jeruzalem";0;0;"";""
"Sterrenbeeldenbuurt";0;0;"";""
"Gildekwartier";0;0;"";""
"Kruiskamp-Noord";0;0;"";""
"Kruiskamp-Midden";0;0;"";""
"Kruiskamp-Zuid";0;0;"";""
"Vuurtoren";0;0;"";""
"De Plaatsen";0;0;"";""
"Koperhorst";0;0;"";""
"Elly Takmastraat e.o.";0;0;"";""
"Camera Obscurastraat e.o.";0;0;"";""
"Queekhoven e.o.";1;1;"";""
"Het Gein";0;0;"";""
"Park Schothorst";"";"";"";""
"Liendert-Noord";0;0;"";""
"Zangvogelbuurt";0;0;"";""
"De Horsten";0;0;"";""
"Watervogelbuurt";0;0;"";""
"Liendert-Zuid";0;0;"";""
"Rustenburg-Noord";0;0;"";""
"Rustenburg-Zuid";0;0;"";""
"Bloeidaal";0;0;"";""
"Stoutenburg-Noord";0;0;"";""
"De Wieken";"";"";"";""
"Vinkenhoef";"";"";"";""
"Nijkerkerstraat e.o.";"";"";"";""
"Schuilenburg-Midden";0;0;"";""
"Schuilenburg-Noord";0;0;"";""
"Schuilenburg-Zuid";0;0;"";""
"Willem III";0;1;"";""
"Componistenbuurt-Noord";0;0;"";""
"Componistenbuurt-Midden";0;0;"";""
"Componistenbuurt-Zuid";0;1;"";""
"Bekenstein / De Luiaard";0;0;"";""
"Vermeerkwartier-Oost";0;0;"";""
"Vermeerkwartier-West";0;0;"";""
"Dorrestein";0;0;"";""
"De Driehoek";0;0;"";""
"Leusderkwartier-West";"";"";"";""
"Leusderkwartier-Oost";0;0;"";""
"Nimmerdor";"";"";"";""
"Westerstraat e.o.";"";0;"";""
"Juliana van Stolberg";0;0;"";""
"Huijgenslaan e.o.";0;0;"";""
"De Lichtenberg";0;0;"";""
"Verhoevenstraat e.o.";0;0;"";""
"Indische Buurt";0;0;"";""
"Klein Zwitserland-Laag";0;0;"";""
"Klein Zwitserland-Hoog";"";0;"";""
"Regentesselaan e.o.";0;0;"";""
"Stationsbuurt";"";"";"";""
"Staatsliedenbuurt-Oost";0;0;"";""
"Staatsliedenbuurt-West";"";0;"";""
"Oranjebuurt";"";0;"";""
"De Ham";"";"";"";""
"Langenoord";0;0;"";""
"Bieshaar-Noord";0;1;"";""
"Bieshaar-Zuid";0;0;"";""
"De Bik";0;0;"";""
"De Brinken";0;0;"";""
"De Biezen";0;0;"";""
"Vlinderbuurt";0;0;"";""
"Erasmusstraat e.o.";0;0;"";""
"Muziekbuurt-Noord";0;0;"";""
"Muziekbuurt-Zuid";0;0;"";""
"Architectenbuurt-Oost";0;1;"";""
"Architectenbuurt-West";0;0;"";""
"Sportpark Zielhorst";"";"";"";""
"De Brand";"";"";"";""
"Donken en zanden";0;0;"";""
"Paddenstoelenbuurt";0;0;"";""
"Woudzoom e.o.";0;0;"";""
"Wintertuinen";0;0;"";""
"De Verwondering e.o.";0;0;"";""
"Emiclaer";0;0;"";""
"Groote Kreek e.o.";0;0;"";""
"Boerderijenkamer";0;0;"";""
"Kattenbroek-Noord";0;0;"";""
"Calveen";0;0;"";""
"Stadskwartier";1;1;"";""
"Hoge Hoven";0;1;"";""
"Centrum / Waterpark";0;0;"";""
"Stadstuin";0;0;"";""
"Waterkwartier";1;1;"";""
"Kruidenbuurt";0;1;"";""
"Hoefkwartier";"";0;"";""
"De Hoef-Oost";"";"";"";""
"Dorpskern Hooglanderveen";0;0;"";""
"Lient e.o.";0;1;"";""
"Hoekveen e.o.";0;0;"";""
"Heideweg e.o.";0;0;"";""
"Coelhorst";0;0;"";""
"Zeldert";0;0;"";""
"De Schans";0;0;"";""
"Park van de Tijden-West";0;0;"";""
"Dassenberg e.o.";0;0;"";""
"Park van de Tijden-Oost";0;1;"";""
"Duisterweg e.o.";0;0;"";""
"Eilandengroepenbuurt";0;0;"";""
"Polderbuurt-Noord";0;0;"";""
"Winkelcentrum Vathorst";0;0;"";""
"Damespolderbuurt";0;0;"";""
"De Bron-Noord";0;1;"";""
"De Bron-Zuid";1;1;"";""
"Waddeneiliandenbuurt";"";"";"";""
"Zuiderzeestedenbuurt-Oost";0;0;"";""
"Zuiderzeestedenbuurt-West";"";"";"";""
"De Baken";0;1;"";""
"Laakse Tuinen";"";"";"";""
"Over de Laak";"";"";"";""
"Podium";"";"";"";""
"Vathorst-Bovenduist";"";"";"";""
