"Gemeenten";"Gemiddeld aardgasverbruik appartement|2017";"Gemiddeld aardgasverbruik appartement|2018";"Gemiddeld aardgasverbruik appartement|2019";"Gemiddeld aardgasverbruik appartement|2020";"Gemiddeld aardgasverbruik appartement|2021";"Gemiddeld aardgasverbruik tussenwoning|2017";"Gemiddeld aardgasverbruik tussenwoning|2018";"Gemiddeld aardgasverbruik tussenwoning|2019";"Gemiddeld aardgasverbruik tussenwoning|2020";"Gemiddeld aardgasverbruik tussenwoning|2021";"Gemiddeld aardgasverbruik hoekwoning|2017";"Gemiddeld aardgasverbruik hoekwoning|2018";"Gemiddeld aardgasverbruik hoekwoning|2019";"Gemiddeld aardgasverbruik hoekwoning|2020";"Gemiddeld aardgasverbruik hoekwoning|2021";"Gemiddeld aardgasverbruik vrijstaande woning|2017";"Gemiddeld aardgasverbruik vrijstaande woning|2018";"Gemiddeld aardgasverbruik vrijstaande woning|2019";"Gemiddeld aardgasverbruik vrijstaande woning|2020";"Gemiddeld aardgasverbruik vrijstaande woning|2021";"Gemiddeld aardgasverbruik alle woningen|2017";"Gemiddeld aardgasverbruik alle woningen|2018";"Gemiddeld aardgasverbruik alle woningen|2019";"Gemiddeld aardgasverbruik alle woningen|2020";"Gemiddeld aardgasverbruik alle woningen|2021";"Totaal aardgasverbruik woningen|2017";"Totaal aardgasverbruik woningen|2018";"Totaal aardgasverbruik woningen|2019";"Totaal aardgasverbruik woningen|2020";"Totaal aardgasverbruik woningen|2021"
"Renkum";1140;1080;1020;960;1080;1330;1300;1210;1140;1280;1600;1550;1450;1360;1540;2900;2820;2620;2400;2660;1690;1640;1530;1430;1600;23,3;22,7;21,4;20,2;22,6
"Renswoude";810;790;750;800;860;1300;1260;1160;1080;1160;1550;1500;1370;1310;1380;2320;2350;2170;2040;2290;1490;1570;1440;1370;1490;2,7;2,9;2,7;2,7;3,0
"Reusel-De Mierden";760;750;730;830;880;1210;1210;1130;1040;1090;1450;1450;1340;1230;1280;2080;2090;1950;1840;2040;1660;1640;1530;1450;1580;8,3;8,3;7,8;7,5;8,2
"Rheden";1010;960;940;870;960;1380;1350;1260;1180;1320;1600;1570;1470;1380;1530;2810;2760;2580;2360;2660;1540;1510;1420;1330;1490;30,6;29,9;28,3;26,5;29,8
"Rhenen";870;840;790;760;860;1280;1270;1160;1080;1230;1500;1480;1360;1240;1420;2310;2260;2090;2070;2320;1550;1520;1400;1310;1490;11,5;11,5;10,7;10,1;11,6
"Ridderkerk";800;790;740;710;810;1180;1180;1090;1050;1180;1420;1430;1300;1250;1430;2440;2450;2220;2040;2320;1130;1140;1050;1000;1140;22,1;22,5;20,9;19,8;22,7
"Rijssen-Holten";950;920;830;880;1010;1390;1370;1270;1190;1330;1570;1550;1420;1350;1500;2330;2340;2150;1990;2240;1650;1630;1490;1400;1570;22,3;22,3;20,7;19,4;22,0
"Rijswijk";1070;1060;990;940;1050;1440;1430;1330;1270;1280;1660;1650;1520;1450;1360;2680;2660;2380;2150;2180;1200;1200;1120;1050;1130;29,4;29,7;28,0;26,6;29,0
"Roerdalen";830;860;930;830;1000;1350;1350;1260;1180;1300;1490;1490;1410;1300;1440;2140;2130;1990;1850;2100;1660;1660;1560;1440;1630;14,7;14,7;13,9;12,9;14,6
"Roermond";860;850;810;780;880;1300;1290;1220;1150;1300;1490;1480;1400;1300;1480;2230;2200;2050;1900;2150;1300;1330;1250;1170;1330;33,3;34,0;32,3;30,5;34,8
"Roosendaal";820;830;740;710;760;1220;1230;1150;1080;1230;1470;1480;1360;1280;1450;2190;2190;2020;1900;2130;1360;1370;1260;1190;1330;44,6;45,1;41,6;39,6;44,6
"Rotterdam";740;730;700;670;780;1020;1020;960;920;1040;1260;1270;1180;1130;1280;2560;2520;2210;2000;2220;840;850;800;770;880;244,1;248,2;235,2;227,7;262,7
"Rozendaal";"?";"?";"?";1090;1110;1790;1720;1590;1570;1750;2040;1990;1860;1770;1960;3460;3350;3160;2780;2960;2500;2390;2240;2030;2250;1,5;1,5;1,4;1,3;1,5
"Rucphen";810;820;760;830;940;1260;1260;1160;1070;1170;1360;1360;1240;1170;1270;2250;2260;2070;1920;2170;1730;1750;1610;1500;1670;15,6;15,8;14,7;13,8;15,6
"Schagen";750;760;730;750;830;1220;1240;1150;1090;1230;1390;1410;1310;1240;1400;1950;2020;1870;1820;2050;1400;1440;1330;1280;1440;26,3;27,1;25,4;24,4;27,8
"Scherpenzeel";860;850;800;810;890;1330;1330;1220;1160;1240;1550;1550;1430;1350;1440;2350;2330;2140;1930;2160;1530;1520;1410;1320;1440;5,5;5,6;5,2;5,0;5,6
"Schiedam";940;940;890;860;980;1190;1210;1140;1090;1210;1420;1440;1360;1300;1450;2110;2140;2010;1940;2210;1060;1060;1000;960;1090;36,6;36,7;34,7;33,7;38,2
"Schiermonnikoog";1190;1510;1400;1300;1540;1130;1030;880;840;1060;1410;1420;1290;1170;1230;2190;2180;1980;1890;2090;1630;1690;1530;1440;1550;0,9;0,9;0,8;0,8;0,9
"Schouwen-Duiveland";750;770;720;720;770;1160;1190;1110;1060;1200;1300;1320;1240;1180;1320;1850;1890;1770;1670;1910;1400;1450;1350;1290;1460;22,1;22,7;21,3;20,4;23,2
"'s-Hertogenbosch";840;840;770;740;820;1250;1250;1160;1090;1250;1450;1450;1350;1270;1450;2310;2300;2150;1960;2200;1220;1220;1140;1070;1200;80,5;81,9;76,9;73,2;83,1
"Simpelveld";940;940;890;930;1070;1500;1490;1390;1290;1460;1670;1660;1570;1460;1680;2240;2240;2110;1940;2200;1590;1580;1470;1380;1580;7,8;7,8;7,3;6,7;7,7
"Sint-Michielsgestel";770;760;750;770;840;1310;1310;1210;1130;1290;1490;1490;1380;1290;1470;2460;2480;2280;2060;2330;1710;1690;1570;1450;1640;18,9;19,1;17,8;16,6;18,9
"Sittard-Geleen";910;870;800;770;880;1310;1300;1220;1120;1260;1530;1510;1410;1290;1460;2290;2250;2110;1940;2190;1370;1360;1270;1180;1340;59,7;59,3;55,3;51,8;58,6
"Sliedrecht";870;890;840;780;830;1150;1150;1060;1010;1090;1390;1380;1280;1200;1330;2120;2100;1930;1860;2110;1170;1170;1090;1040;1130;12,0;12,0;11,3;10,6;11,8
"Sluis";820;830;770;780;850;1210;1240;1150;1110;1260;1370;1400;1320;1250;1430;1700;1760;1640;1640;1870;1350;1390;1290;1270;1440;17,8;18,2;17,2;16,9;19,1
"Smallingerland";930;940;860;840;910;1330;1340;1240;1180;1340;1470;1470;1350;1300;1480;1970;2010;1850;1780;1980;1430;1440;1330;1270;1430;34,2;34,4;32,0;30,8;34,7
"Soest";960;950;870;840;930;1390;1370;1250;1180;1320;1660;1650;1500;1410;1570;2800;2770;2520;2240;2560;1530;1530;1390;1300;1460;29,3;29,4;26,9;25,3;28,8
"Someren";850;850;800;790;910;1270;1260;1170;1090;1250;1370;1360;1260;1190;1350;2280;2290;2120;1970;2170;1620;1620;1500;1400;1570;12,0;12,1;11,4;10,7;12,1
"Son en Breugel";790;790;750;720;820;1540;1520;1410;1300;1480;1680;1640;1520;1420;1610;2850;2770;2560;2360;2600;1820;1720;1600;1470;1660;12,0;11,4;10,7;10,0;11,4
"Stadskanaal";890;890;840;860;960;1510;1500;1400;1320;1430;1640;1630;1510;1440;1560;2200;2220;2050;1910;2140;1640;1650;1530;1460;1620;23,5;23,7;22,0;21,0;23,2
"Staphorst";1230;1190;960;1360;1610;1390;1370;1260;1180;1360;1470;1450;1340;1260;1450;2140;2190;2000;1980;2210;1790;1830;1660;1620;1820;9,7;10,1;9,2;9,0;10,3
"Stede Broec";780;830;700;650;720;1240;1260;1160;1110;1280;1410;1440;1320;1260;1440;1790;1840;1690;1620;1880;1360;1390;1270;1220;1400;11,6;11,9;11,0;10,5;12,1
"Steenbergen";800;800;730;740;790;1250;1250;1150;1080;1200;1400;1410;1290;1220;1370;2000;2040;1880;1790;2010;1440;1470;1350;1280;1420;13,8;14,1;13,1;12,6;14,0
"Steenwijkerland";890;890;800;820;960;1280;1280;1170;1130;1280;1490;1490;1350;1290;1450;2090;2140;1940;1830;2080;1530;1570;1430;1370;1550;28,5;29,4;26,8;25,9;29,6
"Stein";820;810;780;770;880;1370;1350;1250;1160;1320;1560;1540;1440;1330;1530;2080;2060;1910;1760;2000;1520;1510;1400;1310;1490;16,7;16,6;15,5;14,5;16,5
"Stichtse Vecht";850;850;800;770;850;1270;1270;1180;1130;1290;1560;1560;1450;1390;1580;2520;2550;2320;1980;2280;1400;1410;1310;1210;1380;36,6;37,2;34,6;32,6;37,2
"Súdwest-Fryslân";890;890;820;830;910;1290;1310;1210;1160;1320;1460;1480;1360;1300;1470;1810;1880;1730;1740;1940;1400;1450;1330;1300;1460;54,6;56,7;52,5;51,6;58,4
"Terneuzen";830;830;770;750;840;1190;1230;1140;1090;1250;1390;1430;1320;1250;1420;1790;1820;1690;1620;1860;1300;1340;1250;1200;1360;32,7;33,8;31,7;30,3;34,7
"Terschelling";1100;1220;1160;1140;1340;1280;1350;1250;1190;1380;1400;1460;1380;1270;1510;2120;2190;1990;1880;2160;1600;1700;1560;1490;1710;3,4;3,6;3,4;3,2;3,7
"Texel";860;910;860;900;990;1140;1220;1130;1080;1210;1420;1490;1400;1300;1450;1950;2060;1860;1750;1990;1450;1520;1400;1330;1490;8,8;9,4;8,7;8,3;9,5
"Teylingen";840;820;760;720;800;1170;1180;1080;1020;1160;1450;1450;1330;1260;1430;2610;2600;2360;2160;2420;1300;1300;1190;1120;1260;18,4;18,9;17,5;16,9;19,2
"Tholen";750;750;710;670;750;1180;1200;1110;1060;1200;1310;1330;1250;1190;1340;1790;1820;1690;1660;1850;1310;1330;1240;1190;1340;13,2;13,5;12,7;12,3;14,0
"Tiel";890;910;840;820;910;1230;1220;1140;1060;1200;1460;1460;1360;1260;1440;2420;2400;2230;2020;2300;1350;1330;1240;1150;1310;22,6;22,4;21,0;19,6;22,4
"Tilburg";520;500;470;500;540;920;920;860;830;940;1140;1140;1060;1010;1130;2080;2070;1950;1810;2000;870;880;820;800;900;79,3;81,1;76,9;76,3;86,3
"Tubbergen";930;930;820;1080;1340;1340;1340;1190;1110;1350;1510;1510;1320;1260;1510;2180;2270;1960;1900;2260;1830;1900;1640;1520;1820;14,4;15,1;13,1;12,3;14,9
"Twenterand";820;880;800;910;1100;1310;1310;1170;1130;1340;1430;1430;1260;1230;1460;2040;2080;1840;1810;2120;1580;1600;1420;1390;1640;20,2;20,6;18,3;18,0;21,3
"Tynaarlo";1030;1040;940;940;1090;1470;1460;1340;1260;1420;1620;1620;1480;1400;1570;2390;2400;2200;2020;2230;1820;1840;1690;1570;1760;24,1;24,6;22,8;21,4;24,1
"Tytsjerksteradiel";910;910;850;810;900;1340;1370;1280;1210;1330;1470;1490;1370;1300;1430;1910;1960;1810;1760;1940;1560;1590;1470;1420;1560;20,1;20,6;19,3;18,8;20,7
"Uitgeest";740;750;720;710;800;1230;1260;1170;1130;1290;1440;1470;1360;1310;1500;2030;2070;1940;1830;2050;1310;1330;1240;1190;1350;6,9;7,0;6,6;6,4;7,3
"Uithoorn";1000;900;840;810;900;1240;1250;1180;1120;1200;1520;1520;1430;1360;1440;2200;2260;2080;1900;2130;1290;1280;1200;1140;1240;15,5;15,6;14,6;13,8;15,4
"Urk";770;790;770;710;810;1420;1420;1320;1270;1430;1660;1650;1520;1460;1650;2190;2180;2060;1930;2170;1520;1500;1400;1330;1490;9,0;9,0;8,5;8,3;9,5
"Utrecht";570;560;510;510;560;1050;1030;970;920;1050;1160;1150;1070;1020;1150;1890;1830;1750;1690;1870;760;790;730;710;790;108,4;112,4;105,9;105,2;119,2
"Utrechtse Heuvelrug";890;870;820;840;890;1350;1320;1240;1170;1310;1610;1560;1450;1380;1520;2880;2820;2610;2320;2630;1730;1670;1560;1460;1630;34,9;34,0;31,8;30,0;33,5
"Vaals";1040;1020;920;880;980;1460;1470;1360;1290;1420;1650;1640;1500;1410;1620;2460;2480;2290;2200;2480;1460;1450;1330;1270;1410;7,6;7,5;7,2;6,9;7,7
"Valkenburg aan de Geul";970;940;920;900;1050;1470;1450;1380;1280;1460;1720;1700;1600;1470;1650;2500;2470;2330;2100;2380;1600;1590;1510;1390;1590;12,3;12,2;11,7;10,9;12,4
"Valkenswaard";800;800;750;730;770;1340;1340;1250;1160;1310;1520;1510;1410;1320;1500;2520;2510;2320;2100;2380;1470;1440;1340;1250;1400;19,9;19,7;18,5;17,4;19,6
"Veendam";980;1010;930;910;1040;1550;1550;1440;1360;1530;1720;1720;1620;1510;1700;2210;2250;2080;1950;2190;1650;1690;1560;1470;1650;19,8;20,3;18,8;17,8;20,0
"Veenendaal";860;830;760;720;810;1250;1210;1070;1000;1130;1480;1440;1270;1180;1340;2500;2440;2230;1970;2190;1240;1200;1080;1000;1130;31,4;31,1;28,3;26,8;30,5
"Veere";810;820;750;910;1030;1170;1200;1100;1060;1210;1320;1350;1240;1180;1350;1810;1870;1710;1640;1890;1410;1450;1340;1300;1490;14,4;14,9;13,8;13,4;15,4
"Veldhoven";760;810;800;740;780;1260;1260;1180;1100;1250;1480;1480;1380;1280;1440;2300;2310;2140;1980;2220;1400;1420;1330;1240;1380;25,5;26,0;24,7;23,3;26,1
"Velsen";980;990;920;850;940;1230;1240;1150;1100;1270;1540;1550;1440;1370;1570;2590;2610;2400;2190;2570;1260;1270;1180;1110;1260;36,6;36,6;34,2;32,6;37,2
"Venlo";920;920;830;810;890;1340;1340;1270;1180;1340;1540;1530;1450;1350;1530;2450;2410;2250;2060;2290;1390;1390;1300;1220;1370;61,0;61,0;57,4;54,2;61,4
"Venray";880;880;800;780;860;1300;1280;1190;1120;1270;1490;1470;1360;1270;1450;2230;2250;2080;1960;2160;1480;1520;1410;1320;1480;26,3;27,0;25,1;23,8;26,8
"Vijfheerenlanden";850;880;810;760;830;1200;1200;1100;1040;1160;1380;1370;1270;1200;1330;2200;2200;2030;1870;2090;1330;1370;1260;1180;1300;28,3;29,5;27,7;26,3;29,6
"Vlaardingen";950;930;860;820;900;1230;1240;1140;1100;1240;1490;1490;1380;1330;1480;2940;2930;2630;2420;2670;1100;1090;1020;970;1080;36,0;36,1;33,6;32,3;36,0
"Vlieland";1190;1400;1470;940;990;1140;1180;950;940;1030;1330;1350;1120;1150;1180;1850;1960;1760;1650;1790;1370;1440;1300;1160;1230;0,7;0,7;0,7;0,6;0,7
"Vlissingen";860;870;830;790;920;1100;1120;1050;1010;1150;1250;1290;1210;1150;1310;1680;1690;1590;1510;1720;1090;1110;1040;990;1140;23,0;23,7;22,3;21,4;24,5
"Voerendaal";950;940;900;900;1010;1410;1390;1320;1230;1430;1560;1550;1450;1360;1550;2420;2410;2260;2070;2350;1700;1680;1580;1480;1690;9,2;9,1;8,6;8,1;9,2
"Voorne aan Zee";770;780;720;730;770;1140;1160;1060;1030;1160;1330;1360;1250;1210;1360;2200;2200;2030;1910;2140;1260;1290;1190;1140;1270;38,3;39,5;36,4;35,2;39,5
"Voorschoten";880;880;790;770;870;1360;1370;1270;1200;1370;1700;1720;1600;1490;1700;2720;2770;2510;2360;2600;1330;1340;1230;1160;1320;14,2;14,4;13,2;12,6;14,3
"Voorst";770;770;730;900;1110;1290;1290;1200;1130;1270;1420;1400;1320;1260;1390;2270;2300;2100;1950;2170;1660;1660;1540;1430;1620;16,3;16,4;15,2;14,3;16,3
"Vught";840;860;810;810;900;1310;1310;1230;1160;1320;1550;1550;1450;1390;1580;2740;2700;2510;2300;2530;1560;1560;1470;1390;1560;19,4;19,7;18,6;17,7;20,1
"Waadhoeke";870;850;830;780;920;1290;1330;1250;1180;1360;1410;1450;1340;1280;1460;1790;1880;1720;1720;1910;1450;1520;1410;1370;1540;28,4;30,0;27,9;27,3;30,9
"Waalre";790;820;780;770;830;1460;1460;1360;1270;1440;1640;1640;1520;1410;1620;3050;3000;2790;2420;2680;1770;1750;1620;1490;1660;12,6;12,4;11,6;10,9;12,2
"Waalwijk";800;810;760;760;820;1190;1200;1130;1070;1200;1410;1420;1330;1260;1400;2130;2160;2030;1880;2130;1340;1360;1270;1210;1350;26,7;27,5;26,1;24,9;27,9
"Waddinxveen";860;860;770;760;810;1170;1160;1070;1020;1130;1420;1400;1280;1230;1340;2290;2350;2120;1920;2070;1200;1210;1110;1060;1150;12,7;13,4;12,5;12,2;13,8
"Wageningen";960;930;880;780;820;1000;990;930;900;930;1240;1220;1140;1080;1180;2680;2620;2380;2180;2400;1430;1160;1090;1000;1060;22,7;18,7;17,9;16,7;18,1
"Wassenaar";1040;1030;960;950;1060;1520;1530;1430;1350;1540;1900;1930;1770;1670;1900;4270;4240;3940;3110;3430;1880;1960;1820;1640;1840;21,6;22,4;20,9;18,9;21,3
"Waterland";930;940;860;840;920;1340;1340;1230;1180;1340;1630;1630;1470;1410;1620;2200;2250;2060;1960;2220;1520;1530;1400;1340;1510;10,3;10,4;9,6;9,2;10,5
"Weert";870;860;800;760;820;1310;1310;1200;1120;1270;1500;1500;1380;1290;1450;2250;2270;2080;1950;2150;1450;1460;1350;1270;1400;30,5;31,1;28,9;27,3;30,6
"West Betuwe";800;800;760;810;880;1180;1180;1090;1020;1150;1350;1350;1250;1170;1330;2260;2280;2100;1920;2160;1620;1600;1480;1380;1550;30,8;30,8;28,8;27,1;30,6
"West Maas en Waal";910;910;860;920;1050;1190;1190;1100;1010;1150;1350;1330;1220;1140;1270;2230;2260;2080;1960;2190;1670;1680;1550;1460;1640;12,5;12,7;11,8;11,3;12,9
"Westerkwartier";1010;1030;850;790;850;1390;1400;1300;1220;1350;1520;1540;1420;1350;1490;2100;2150;1970;1910;2100;1690;1730;1590;1520;1670;42,0;43,3;40,3;39,1;43,2
"Westerveld";950;950;850;890;1080;1320;1300;1180;1110;1280;1480;1480;1350;1300;1430;2210;2250;2030;1970;2200;1800;1840;1660;1600;1800;14,2;14,6;13,3;12,8;14,5
"Westervoort";230;220;200;240;280;680;680;630;600;680;820;820;760;720;830;1800;1740;1600;1510;1720;810;810;750;710;810;5,0;5,1;4,7;4,5;5,1
"Westerwolde";1060;1080;900;1020;1190;1530;1540;1440;1360;1520;1720;1750;1620;1530;1710;2170;2210;2030;1950;2170;1840;1880;1720;1680;1880;20,7;21,2;19,3;18,9;21,0
"Westland";770;780;730;720;810;1110;1120;1040;990;1110;1350;1360;1260;1200;1360;2270;2300;2110;1940;2220;1220;1250;1160;1100;1240;49,3;51,4;48,5;46,5;53,4
"Weststellingwerf";940;940;860;850;940;1290;1290;1200;1140;1270;1430;1430;1320;1240;1390;2000;2060;1900;1810;2010;1590;1630;1510;1430;1590;17,2;17,8;16,5;15,8;17,6
"Wierden";890;880;770;850;1020;1350;1350;1180;1120;1360;1480;1490;1310;1260;1490;2240;2230;1940;1830;2160;1670;1670;1460;1390;1660;15,2;15,1;13,4;12,9;15,5
"Wijchen";760;750;690;720;790;1180;1160;1090;1030;1170;1400;1360;1280;1200;1370;2230;2220;2090;1920;2170;1370;1360;1270;1200;1360;22,6;22,9;21,4;20,4;23,2
"Wijdemeren";850;850;710;780;910;1360;1340;1240;1160;1340;1660;1640;1510;1420;1640;2730;2720;2530;2110;2410;1660;1680;1520;1370;1580;16,5;16,7;15,3;13,8;16,0
"Wijk bij Duurstede";850;840;810;820;840;1240;1240;1140;1090;1240;1450;1430;1340;1260;1450;2460;2470;2270;2070;2330;1360;1380;1270;1210;1350;12,7;12,9;11,9;11,5;13,0
"Winterswijk";870;880;840;860;1000;1280;1270;1190;1110;1280;1490;1460;1380;1290;1470;2240;2200;2040;1980;2200;1510;1510;1410;1330;1510;18,3;18,4;17,4;16,5;18,9
"Woensdrecht";850;830;780;730;840;1170;1170;1090;1020;1160;1380;1370;1270;1210;1380;2060;2060;1900;1780;2000;1510;1520;1400;1320;1500;13,9;14,0;13,0;12,3;14,0
"Woerden";790;790;740;710;790;1230;1230;1160;1100;1240;1500;1500;1400;1320;1480;2360;2390;2240;2060;2300;1300;1310;1230;1150;1290;26,3;26,7;25,3;24,0;27,2
"Wormerland";890;860;810;810;920;1200;1200;1110;1080;1230;1420;1410;1320;1290;1450;2100;2150;2000;1900;2160;1330;1340;1250;1210;1370;8,4;8,6;8,2;7,9;8,9
"Woudenberg";790;780;730;700;700;1330;1300;1200;1120;1260;1540;1500;1380;1300;1460;2380;2370;2200;2000;2200;1510;1500;1380;1300;1420;7,0;7,0;6,6;6,3;7,1
"Zaanstad";970;960;900;860;910;1170;1170;1080;1050;1190;1430;1430;1330;1280;1450;2080;2110;1930;1850;2090;1220;1220;1130;1090;1200;77,3;77,7;72,8;70,3;77,9
"Zaltbommel";840;810;740;730;810;1220;1220;1120;1060;1190;1400;1390;1280;1210;1360;2190;2210;2030;1920;2150;1510;1520;1400;1320;1480;15,7;16,0;15,0;14,5;16,4
"Zandvoort";950;960;910;850;990;1300;1310;1230;1170;1340;1710;1730;1630;1560;1770;3280;3290;3110;2670;3150;1340;1350;1270;1180;1360;12,0;12,1;11,4;10,8;12,4
"Zeewolde";620;630;560;580;670;950;920;850;810;920;1070;1050;940;890;1000;1880;1970;1820;1730;1900;990;1050;960;920;1030;7,8;8,2;7,7;7,5;8,6
"Zeist";970;950;890;880;970;1370;1340;1240;1170;1330;1640;1600;1490;1400;1600;3390;3350;3120;2620;2970;1500;1470;1360;1280;1440;39,9;39,3;36,9;35,1;40,2
"Zevenaar";820;800;740;740;820;1240;1230;1130;1060;1190;1400;1390;1280;1190;1350;2040;2030;1860;1790;1990;1340;1360;1250;1190;1330;24,7;25,2;23,3;22,2;25,2
"Zoetermeer";820;810;790;750;830;1030;1030;970;930;1020;1280;1280;1210;1150;1280;1960;1970;1810;1710;1950;1010;1000;950;910;1000;52,8;52,5;50,4;48,2;53,2
"Zoeterwoude";760;770;730;750;770;1190;1190;1100;1040;1170;1460;1480;1360;1280;1430;2110;2190;2010;1910;2080;1260;1310;1210;1150;1250;4,2;4,3;4,0;3,8;4,4
"Zuidplas";780;780;770;740;800;1150;1160;1080;1030;1140;1400;1400;1300;1240;1360;2270;2320;2160;1910;2110;1230;1290;1210;1130;1250;19,7;20,9;20,0;19,2;21,8
"Zundert";780;780;730;770;910;1290;1290;1190;1110;1270;1480;1480;1360;1260;1420;2180;2200;2020;1850;2080;1700;1710;1570;1440;1630;14,8;15,1;14,0;12,8;14,8
"Zutphen";950;940;860;820;930;1270;1240;1150;1080;1230;1480;1440;1330;1250;1430;2330;2310;2130;1970;2180;1300;1280;1180;1110;1250;26,6;26,4;24,5;23,2;26,7
"Zwartewaterland";850;840;780;800;880;1310;1310;1200;1160;1320;1510;1500;1390;1320;1520;2160;2210;2010;1950;2160;1490;1510;1390;1330;1500;12,2;12,5;11,6;11,2;12,7
"Zwijndrecht";920;900;860;830;900;1240;1220;1130;1080;1230;1490;1480;1360;1290;1460;2570;2550;2340;2150;2430;1260;1200;1120;1070;1190;24,3;23,1;21,5;20,6;23,2
"Zwolle";870;850;780;740;830;1180;1180;1070;1020;1150;1380;1380;1260;1190;1340;2210;2230;2040;1930;2120;1180;1170;1070;1020;1140;62,1;62,4;58,2;55,9;63,7
