"Gemeenten";"Gemiddeld aardgasverbruik appartement|2017";"Gemiddeld aardgasverbruik appartement|2018";"Gemiddeld aardgasverbruik appartement|2019";"Gemiddeld aardgasverbruik appartement|2020";"Gemiddeld aardgasverbruik appartement|2021";"Gemiddeld aardgasverbruik tussenwoning|2017";"Gemiddeld aardgasverbruik tussenwoning|2018";"Gemiddeld aardgasverbruik tussenwoning|2019";"Gemiddeld aardgasverbruik tussenwoning|2020";"Gemiddeld aardgasverbruik tussenwoning|2021";"Gemiddeld aardgasverbruik hoekwoning|2017";"Gemiddeld aardgasverbruik hoekwoning|2018";"Gemiddeld aardgasverbruik hoekwoning|2019";"Gemiddeld aardgasverbruik hoekwoning|2020";"Gemiddeld aardgasverbruik hoekwoning|2021";"Gemiddeld aardgasverbruik vrijstaande woning|2017";"Gemiddeld aardgasverbruik vrijstaande woning|2018";"Gemiddeld aardgasverbruik vrijstaande woning|2019";"Gemiddeld aardgasverbruik vrijstaande woning|2020";"Gemiddeld aardgasverbruik vrijstaande woning|2021";"Gemiddeld aardgasverbruik alle woningen|2017";"Gemiddeld aardgasverbruik alle woningen|2018";"Gemiddeld aardgasverbruik alle woningen|2019";"Gemiddeld aardgasverbruik alle woningen|2020";"Gemiddeld aardgasverbruik alle woningen|2021";"Totaal aardgasverbruik woningen|2017";"Totaal aardgasverbruik woningen|2018";"Totaal aardgasverbruik woningen|2019";"Totaal aardgasverbruik woningen|2020";"Totaal aardgasverbruik woningen|2021"
"Boxtel";790;800;710;720;820;1290;1300;1200;1120;1270;1510;1510;1410;1320;1490;2310;2310;2140;1960;2220;1400;1420;1310;1230;1390;18,7;19,0;17,6;16,5;18,9
"Breda";630;620;590;590;640;1010;1010;960;900;1020;1270;1270;1190;1120;1270;2470;2450;2290;2060;2310;1020;1040;980;930;1030;78,8;81,2;77,0;73,8;82,9
"Bronckhorst";930;940;860;1060;1250;1310;1280;1190;1110;1250;1430;1410;1300;1240;1380;2310;2310;2110;2000;2240;1750;1760;1610;1520;1720;26,5;26,6;24,4;23,1;26,2
"Brummen";950;930;890;860;950;1250;1230;1160;1090;1200;1400;1370;1300;1220;1350;2450;2420;2250;2080;2330;1590;1580;1480;1390;1540;13,8;13,7;12,9;12,2;13,6
"Brunssum";910;920;840;790;880;1290;1280;1200;1110;1280;1540;1520;1430;1320;1510;2310;2270;2140;1970;2230;1350;1350;1260;1170;1330;18,3;18,4;17,2;16,0;18,1
"Bunnik";770;770;710;710;770;1420;1390;1280;1220;1390;1650;1620;1500;1420;1610;2530;2570;2360;2140;2400;1520;1520;1400;1320;1490;9,1;9,1;8,4;7,9;9,1
"Bunschoten";730;760;700;680;760;1340;1340;1220;1160;1310;1610;1590;1470;1390;1580;2570;2580;2360;2080;2430;1460;1450;1320;1230;1400;11,2;11,2;10,4;9,9;11,2
"Buren";740;760;710;960;1060;1270;1280;1200;1090;1220;1440;1440;1340;1250;1400;2260;2280;2090;1990;2230;1750;1770;1630;1520;1700;17,2;17,5;16,2;15,4;17,5
"Capelle aan den IJssel";660;650;610;610;640;820;820;770;740;850;1060;1060;990;950;1090;2250;2240;2140;1970;2230;790;790;750;730;800;22,9;22,9;21,6;21,3;23,6
"Castricum";820;830;780;740;840;1390;1410;1300;1240;1400;1590;1610;1480;1420;1600;2190;2230;2050;1920;2160;1470;1490;1370;1300;1470;21,6;22,1;20,6;19,6;22,4
"Coevorden";1010;1000;920;890;1030;1350;1340;1220;1160;1300;1530;1510;1380;1310;1460;2230;2250;2060;1950;2180;1690;1720;1570;1490;1670;24,2;25,0;22,9;21,8;24,5
"Cranendonck";870;870;850;880;1030;1280;1280;1190;1110;1270;1390;1400;1300;1210;1380;2220;2230;2090;1930;2160;1650;1660;1550;1440;1630;13,7;13,9;13,0;12,2;13,9
"Culemborg";690;680;640;640;720;1090;1070;990;930;1050;1300;1280;1180;1110;1240;2120;2090;1920;1770;1980;1090;1130;1050;990;1110;12,4;13,0;12,2;11,7;13,3
